registerCode,signed,registerType,registerFlag,address,min,max,description,value,status
"REG_DEMC_RH_HIGHEST","I","Read Input Register (Function 04)","INPUT_REG","1001","0","100","Highest value of all RH sensors","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_HIGHEST","I","Read Input Register (Function 04)","INPUT_REG","1002","0","2000","Highest value of all CO2 sensors","45","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_PI_SP","I","Read Input Register (Function 04)","INPUT_REG","1011","0","100","Set point for RH demand control","28","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_PI_FEEDBACK","I","Read Input Register (Function 04)","INPUT_REG","1012","0","100","Sensor value for RH demand control","-32","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_PI_OUTPUT","I","Read Input Register (Function 04)","INPUT_REG","1019",,,"Output value for RH demand control.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_PI_SP","I","Read Input Register (Function 04)","INPUT_REG","1021","0","2000","Set point for CO2 demand control","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_PI_FEEDBACK","I","Read Input Register (Function 04)","INPUT_REG","1022","0","2000","Sensor value for CO2 demand control","-800","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_PI_OUTPUT","I","Read Input Register (Function 04)","INPUT_REG","1029",,,"Output value for CO2 demand control(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_SETTINGS_PBAND","I","Holding Register (Function 03/06/16)","HOLDING_REG","1031","1","100","Pband setting for RH demand control","0",
"REG_DEMC_RH_SETTINGS_SP_SUMMER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1033","10","100","Set point setting for RH demand control during (temperature based) winter time","40",
"REG_DEMC_RH_SETTINGS_SP_WINTER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1034","10","100","Set point setting for RH demand control during (temperature based) summer time","1",
"REG_DEMC_RH_SETTINGS_ON_OFF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1035","0","1","Flag indicating if RH demand control is allowed","0",
"REG_SUMMER_WINTER","I","Read Input Register (Function 04)","INPUT_REG","1039","0","1","Actual seasson for Demand Control0: Summer1: Winter","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_SETTINGS_PBAND","I","Holding Register (Function 03/06/16)","HOLDING_REG","1041","50","2000","Pband setting for CO2 demand control","0",
"REG_DEMC_CO2_SETTINGS_SP","I","Holding Register (Function 03/06/16)","HOLDING_REG","1043","100","2000","Set point setting for CO2 demand control","0",
"REG_DEMC_CO2_SETTINGS_ON_OFF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1044","0","1","Flag indicating if CO2 demand control is allowed","0",
"REG_USERMODE_HOLIDAY_TIME","I","Holding Register (Function 03/06/16)","HOLDING_REG","1101","1","365","Time delay setting for user mode Holiday","1",
"REG_USERMODE_AWAY_TIME","I","Holding Register (Function 03/06/16)","HOLDING_REG","1102","1","72","Time delay setting for user mode Away","1",
"REG_USERMODE_FIREPLACE_TIME","I","Holding Register (Function 03/06/16)","HOLDING_REG","1103","1","60","Time delay setting for user mode Fire Place","1",
"REG_USERMODE_REFRESH_TIME","I","Holding Register (Function 03/06/16)","HOLDING_REG","1104","1","240","Time delay setting for user mode Refresh","1",
"REG_USERMODE_CROWDED_TIME","I","Holding Register (Function 03/06/16)","HOLDING_REG","1105","1","8","Time delay setting for user mode Crowded","0",
"REG_USERMODE_REMAINING_TIME_L","I","Read Input Register (Function 04)","INPUT_REG","1111",,,"Remaining time for the state Holiday/ Away/Fire Place/Refresh/Crowded","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_USERMODE_REMAINING_TIME_H","I","Read Input Register (Function 04)","INPUT_REG","1112",,,"Remaining time for the state Holiday/ Away/Fire Place/Refresh/Crowded","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_IAQ_SPEED_LEVEL_MIN","I","Holding Register (Function 03/06/16)","HOLDING_REG","1121","2","3","Minimum level for Demand Control2: Low3: Normal","4",
"REG_IAQ_SPEED_LEVEL_MAX","I","Holding Register (Function 03/06/16)","HOLDING_REG","1122","3","5","Maximum level for user Demand Control3: Normal4: High5: Maximum","0",
"REG_IAQ_LEVEL","I","Read Input Register (Function 04)","INPUT_REG","1123","0","2","Actual IAQ level:0: Economic1: Good2: Improving","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_USERMODE_MANUAL_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1131","1","4","Fan speed level for mode Manual, supply fan.(1): value Off only allowed if contents of register 1352 is 1.(1): Off2: Low3: Normal4: High","4",
"REG_USERMODE_MANUAL_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1132","2","4","Fan speed level for mode Manual, extract fan.2: Low3: Normal4: High","6",
"REG_USERMODE_CROWDED_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1135","3","5","Fan speed level for mode Crowded3: Normal4: High5: Maximum","4",
"REG_USERMODE_CROWDED_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1136","3","5","Fan speed level for mode Crowded3: Normal4: High5: Maximum","5",
"REG_USERMODE_REFRESH_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1137","3","5","Fan speed level for mode Refresh3: Normal4: High5: Maximum","5",
"REG_USERMODE_REFRESH_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1138","3","5","Fan speed level for mode Refresh3: Normal4: High5: Maximum","5",
"REG_USERMODE_FIREPLACE_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1139","3","5","Fan speed level for mode Fire Place3: Normal4: High5: Maximum","1",
"REG_USERMODE_FIREPLACE_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1140","1","3","Fan speed level for mode Fire Place1: Minimum2: Low3: Normal","1",
"REG_USERMODE_AWAY_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1141","0","3","Fan speed level for mode Away.0: Off(1)1: Minimum2: Low3: Normal.(1): value Off only allowed if contents of register REG_ FAN_MANUAL_STOP_ALLOWED is 1.","1",
"REG_USERMODE_AWAY_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1142","0","3","Fan speed level for mode Away.0: Off(1)1: Minimum2: Low3: Normal.(1): value Off only allowed if contents of register REG_ FAN_MANUAL_STOP_ALLOWED is 1.","1",
"REG_USERMODE_HOLIDAY_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1143","0","3","Fan speed level for mode Holiday.0: Off(1) 1: Minimum2: Low3: Normal.(1): value Off only allowed if contents of register REG_ FAN_MANUAL_STOP_ALLOWED is 1.","1",
"REG_USERMODE_HOLIDAY_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1144","0","3","Fan speed level for mode Holiday.0: Off(1) 1: Minimum2: Low3: Normal.(1): value Off only allowed if contents of register REG_ FAN_MANUAL_STOP_ALLOWED is 1.","5",
"REG_USERMODE_COOKERHOOD_ AIRFLOW_LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1145","1","5","Fan speed level for mode Cooker Hood2: Low3: Normal4: High","1",
"REG_USERMODE_COOKERHOOD_ AIRFLOW_LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1146","1","5","Fan speed level for mode Cooker Hood1: Minimum2: Low3: Normal","5",
"REG_USERMODE_VACUUMCLEANER_ AIRFLOW_LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1147","1","5","Fan speed level for mode Vacuum Cleaner2: Low3: Normal4: High","1",
"REG_USERMODE_VACUUMCLEANER_ AIRFLOW_LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1148","1","5","Fan speed level for mode Vacuum Cleaner1: Minimum2: Low3: Normal","0",
"REG_USERMODE_CROWDED_T_OFFSET","I*","Holding Register (Function 03/06/16)","HOLDING_REG","1151","-100","0","Temperature setpoint offset for user mode Crowded","0",
"REG_USERMODE_MODE","I","Read Input Register (Function 04)","INPUT_REG","1161","0","12","Active User mode.0: Auto1: Manual2: Crowded3: Refresh4: Fireplace5: Away6: Holiday7: Cooker Hood8: Vacuum Cleaner9: CDI110: CDI211: CDI312: PressureGuard","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_USERMODE_HMI_CHANGE_ REQUEST","I","Holding Register (Function 03/06/16)","HOLDING_REG","1162","0","7","New desired user mode as requested by HMI0: None1: AUTO2: Manual 3: Crowded4: Refresh5: Fireplace6: Away7: Holiday","0",
"REG_CDI_1_AIRFLOW_LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1171","0","5","Fan speed level for configurable digital input 1.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","2",
"REG_CDI_1_AIRFLOW_LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1172","0","5","Fan speed level for configurable digital input 1.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","2",
"REG_CDI_2_AIRFLOW_LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1173","0","5","Fan speed level for configurable digital input 2.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","2",
"REG_CDI_2_AIRFLOW_LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1174","0","5","Fan speed level for configurable digital input 2.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","2",
"REG_CDI_3_AIRFLOW_LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1175","0","5","Fan speed level for configurable digital input 3.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","2",
"REG_CDI_3_AIRFLOW_LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1176","0","5","Fan speed level for configurable digital input 3.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","5",
"REG_PRESSURE_GUARD_AIRFLOW_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1177","0","5","Fan speed level for configurable pressure guard function.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","1",
"REG_PRESSURE_GUARD_AIRFLOW_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","1178","0","5","Fan speed level for configurable pressure guard function.0: Off1: Minimum2: Low3: Normal4: High5: Maximum","0",
"REG_USERMODE_HOLIDAY_DI_OFF_ DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1181","0","365","Off delay for DI","8192",
"REG_USERMODE_AWAY_DI_OFF_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1182","0","72","Off delay for DI","2",
"REG_USERMODE_FIRPLACE_DI_OFF_ DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1183","0","60","Off delay for DI","2",
"REG_USERMODE_REFRESH_DI_OFF_ DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1184","0","240","Off delay for DI","-25489",
"REG_USERMODE_CROWDED_DI_OFF_ DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1185","0","8","Off delay for DI","0",
"REG_CDI1_OFF_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1188","0","240","Off delay for DI","8191",
"REG_CDI2_OFF_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1189","0","240","Off delay for DI","1344",
"REG_CDI3_OFF_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","1190","0","240","Off delay for DI","0",
"REG_SPEED_CDI1_SAF","I","Read Input Register (Function 04)","INPUT_REG","1221",,,"SAF speed value for user mode Holiday.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_CDI1_EAF","I","Read Input Register (Function 04)","INPUT_REG","1222",,,"EAF speed value for user mode Holiday.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_CDI2_SAF","I","Read Input Register (Function 04)","INPUT_REG","1223",,,"SAF speed value for mode Cooker Hood.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_CDI2_EAF","I","Read Input Register (Function 04)","INPUT_REG","1224",,,"EAF speed value for mode Cooker Hood.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_CDI3_SAF","I","Read Input Register (Function 04)","INPUT_REG","1225",,,"SAF speed value for mode Vacuum Cleaner. (1): Depends on regulation type. Value can be %, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_CDI3_EAF","I","Read Input Register (Function 04)","INPUT_REG","1226",,,"EAF speed value for mode Vacuum Cleaner. (1): Depends on regulation type. Value can be %, RPM, Pressure or Flow","90","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_PRESSURE_GUARD_SAF","I","Read Input Register (Function 04)","INPUT_REG","1227",,,"SAF speed value for low fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","16","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_PRESSURE_GUARD_EAF","I","Read Input Register (Function 04)","INPUT_REG","1228",,,"EAF speed value for low fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_OUTDOOR_COMP_TYPE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1251","0","1","Compensate only SF or both SF and EF0: SAF1: SAF/EAF","0",
"REG_FAN_OUTDOOR_COMP_MAX_ VALUE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1252","0","50","Compensation value at lowest temperature.","0",
"REG_FAN_OUTDOOR_COMP_STOP_T_ WINTER","I*","Holding Register (Function 03/06/16)","HOLDING_REG","1253","-300","0","Temperature at which compensation reaches maximum value during the winter period.","0",
"REG_FAN_OUTDOOR_COMP_MAX_TEMP","I*","Holding Register (Function 03/06/16)","HOLDING_REG","1254","-300","0","Temperature at which highest compensation is applied.","0",
"REG_FAN_OUTDOOR_COMP_START_T_ WINTER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1256","-300","0","Temperature at which compensation starts during the winter period.","1344",
"REG_FAN_OUTDOOR_COMP_START_T_ SUMMER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1257","150","300","Temperature at which compensation starts during the summer period.","0",
"REG_FAN_OUTDOOR_COMP_STOP_T_ SUMMER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1258","150","400","Temperature at which compensation reaches maximum value during the summer period.","152",
"REG_FAN_OUTDOOR_COMP_VALUE_ SUMMER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1259","0","50","Compensation value during summer period","0",
"REG_FAN_REGULATION_UNIT","I","Holding Register (Function 03/06/16)","HOLDING_REG","1274","0","4","Type of fan control mode.0: Manual1: RPM2: VAV (Constant Pressure)3: CAV (Constant Flow)4: DCV (External)","0",
"REG_FAN_LEVEL_SAF_MIN","I","Read Input Register (Function 04)","INPUT_REG","1301",,,"SAF speed value for minimum fan speed. (1): Depends on regulation type. Value can be %, RPM, Pressure or Flow","16","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_EAF_MIN","I","Read Input Register (Function 04)","INPUT_REG","1302",,,"EAF speed value for minimum fan speed. (1): Depends on regulation type. Value can be %, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_SAF_LOW","I","Read Input Register (Function 04)","INPUT_REG","1303",,,"SAF speed value for low fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_EAF_LOW","I","Read Input Register (Function 04)","INPUT_REG","1304",,,"EAF speed value for low fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","45","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_SAF_NORMAL","I","Read Input Register (Function 04)","INPUT_REG","1305",,,"SAF speed value for normal fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","45","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_EAF_NORMAL","I","Read Input Register (Function 04)","INPUT_REG","1306",,,"EAF speed value for normal fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","70","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_SAF_HIGH","I","Read Input Register (Function 04)","INPUT_REG","1307",,,"SAF speed value for high fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","70","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_EAF_HIGH","I","Read Input Register (Function 04)","INPUT_REG","1308",,,"EAF speed value for high fan speed.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","90","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_SAF_MAX","I","Read Input Register (Function 04)","INPUT_REG","1309",,,"SAF speed value for maximum fan speed. (1): Depends on regulation type. Value can be %, RPM, Pressure or Flow","90","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_EAF_MAX","I","Read Input Register (Function 04)","INPUT_REG","1310",,,"EAF speed value for maximum fan speed. (1): Depends on regulation type. Value can be %, RPM, Pressure or Flow","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_FANS_RUNNING","I","Read Input Register (Function 04)","INPUT_REG","1351","0","1","Indicates that both fans are running","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SPEED_SAF_DESIRED_OFF","I","Read Input Register (Function 04)","INPUT_REG","1352","0","1","Indicates that the SAF shall be turned off once the electrical reheater is cooled down.","1","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_MANUAL_STOP_ALLOWED","I","Holding Register (Function 03/06/16)","HOLDING_REG","1353","0","1","Allow manual fan stop (also as selection for user modes and Week schedule).0: Manual stop not allowed1: Manual stop allowed","0",
"REG_SPEED_ELECTRICAL_HEATER_HOT_ COUNTER","I","Read Input Register (Function 04)","INPUT_REG","1357",,,"Electrical Heater hot counter. Count down from 120 sec.","3","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_SPEED_AFTER_HEATER_ COOLING_DOWN_SAF","I","Read Input Register (Function 04)","INPUT_REG","1358","0","100","Supply Air Fan Speed Level After Heater Cooling Down","3","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_SPEED_AFTER_HEATER_ COOLING_DOWN_EAF","I","Read Input Register (Function 04)","INPUT_REG","1359","0","100","Extract Air Fan Speed Level After Heater Cooling Down","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FAN_LEVEL_SAF_MIN_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1401","16","100","SAF speed value for minimum fan speed","16",
"REG_FAN_LEVEL_EAF_MIN_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1402","16","100","EAF speed value for minimum fan speed","25",
"REG_FAN_LEVEL_SAF_LOW_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1403","16","100","SAF speed value for low fan speed","25",
"REG_FAN_LEVEL_EAF_LOW_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1404","16","100","EAF speed value for low fan speed","45",
"REG_FAN_LEVEL_SAF_NORMAL_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1405","16","100","SAF speed value for normal fan speed","45",
"REG_FAN_LEVEL_EAF_NORMAL_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1406","16","100","EAF speed value for normal fan speed","70",
"REG_FAN_LEVEL_SAF_HIGH_ PERCENTAGE","I","Holding Register (Function 03/06/16)","HOLDING_REG","1407","16","100","SAF speed value for high fan speed","70",
